,0,0,,
0,1,0.6191529,0.3808471,1
1,1,0.5812017,0.4187983,1
2,1,0.5690006,0.4309994,1
3,1,0.55572623,0.44427377,1
4,1,0.544797,0.455203,1
5,1,0.52035016,0.47964984,1
6,1,0.5114511,0.4885489,1
7,1,0.49734017,0.50265983,0
8,1,0.4973343,0.5026657,0
9,0,0.43449527,-0.43449527,1
10,0,0.4349475,-0.4349475,1
11,0,0.43538076,-0.43538076,1
12,0,0.45797807,-0.45797807,1
13,0,0.46275795,-0.46275795,1
14,1,0.6637933,0.3362067,1
15,1,0.5693337,0.4306663,1
16,1,0.5628827,0.4371173,1
17,1,0.55914456,0.44085544,1
18,1,0.5356052,0.4643948,1
19,1,0.54009545,0.45990455,1
20,1,0.5251151,0.4748849,1
21,1,0.5213876,0.4786124,1
22,1,0.5217291,0.4782709,1
23,1,0.50624824,0.49375176,1
24,1,0.50471437,0.49528563,1
25,1,0.49326834,0.50673166,0
26,1,0.4989649,0.5010351,0
27,1,0.4749776,0.5250224,0
28,1,0.47159055,0.52840945,0
29,1,0.47442266,0.52557734,0
30,0,0.41929522,-0.41929522,1
31,0,0.4162457,-0.4162457,1
32,0,0.4529058,-0.4529058,1
33,0,0.46333215,-0.46333215,1
34,1,0.62520856,0.37479144,1
35,1,0.5378784,0.4621216,1
36,1,0.5326979,0.4673021,1
37,1,0.5298096,0.4701904,1
38,1,0.48973006,0.51026994,0
39,1,0.4865514,0.5134486,0
40,1,0.48783034,0.51216966,0
41,1,0.48602575,0.51397425,0
42,1,0.47912574,0.52087426,0
43,1,0.48035768,0.51964232,0
44,1,0.47244206,0.52755794,0
45,1,0.4712954,0.5287046,0
46,0,0.42087728,-0.42087728,1
47,0,0.42136282,-0.42136282,1
48,0,0.42220095,-0.42220095,1
49,0,0.41358155,-0.41358155,1
50,0,0.4224757,-0.4224757,1
51,0,0.42234114,-0.42234114,1
52,0,0.42545938,-0.42545938,1
53,0,0.42802927,-0.42802927,1
54,0,0.4352463,-0.4352463,1
55,0,0.4548617,-0.4548617,1
56,0,1,-1,1
57,1,0.60926116,0.39073884,1
58,1,0.60912865,0.39087135,1
59,1,0.5279455,0.4720545,1
60,1,0.52813387,0.47186613,1
61,1,0.50432193,0.49567807,1
62,1,0.49080515,0.50919485,0
63,1,0.497268,0.502732,0
64,1,0.49493015,0.50506985,0
65,1,0.46558037,0.53441963,0
66,1,0.62280965,0.37719035,1
67,1,0.58174896,0.41825104,1
68,1,0.55838597,0.44161403,1
69,1,0.52862954,0.47137046,1
70,1,0.527174,0.472826,1
71,1,0.50393134,0.49606866,1
72,1,0.4823332,0.5176668,0
73,1,0.46970445,0.53029555,0
74,0,0.41381562,-0.41381562,1
75,0,0.43107098,-0.43107098,1
76,0,0.43324047,-0.43324047,1
77,0,0.4542897,-0.4542897,1
78,1,0.7114625,0.2885375,1
79,1,0.6532046,0.3467954,1
80,1,0.59564996,0.40435004,1
81,1,0.5328847,0.4671153,1
82,1,0.52202183,0.47797817,1
83,1,0.48574784,0.51425216,0
84,1,0.4872568,0.5127432,0
85,1,0.48772717,0.51227283,0
86,1,0.46618995,0.53381005,0
87,1,0.47073296,0.52926704,0
88,0,0.41450465,-0.41450465,1
89,0,1,-1,1
90,0,0.42203122,-0.42203122,1
91,0,0.42251462,-0.42251462,1
92,0,0.43961287,-0.43961287,1
93,0,0.44456005,-0.44456005,1
94,0,0.4561102,-0.4561102,1
95,1,0.6255243,0.3744757,1
96,1,0.6068197,0.3931803,1
97,1,0.5237726,0.4762274,1
98,1,0.513077,0.486923,1
99,1,0.4998911,0.5001089,0
100,1,0.49799278,0.50200722,0
101,1,0.48401657,0.51598343,0
102,1,0.4838605,0.5161395,0
103,1,0.4669617,0.5330383,0
104,0,0.43221134,-0.43221134,1
105,0,0.4382054,-0.4382054,1
106,0,0.441889,-0.441889,1
107,0,0.45113465,-0.45113465,1
108,1,0.70373994,0.29626006,1
109,1,0.5347068,0.4652932,1
110,1,0.5271351,0.4728649,1
111,1,0.52405,0.47595,1
112,1,0.52226424,0.47773576,1
113,1,0.5203974,0.4796026,1
114,1,0.51618207,0.48381793,1
115,1,0.5069071,0.4930929,1
116,1,0.5000446,0.4999554,1
117,1,0.49066103,0.50933897,0
118,1,0.4807295,0.5192705,0
119,1,0.47088242,0.52911758,0
120,0,0.41802555,-0.41802555,1
121,0,1,-1,1
122,0,0.420052,-0.420052,1
123,0,0.42317015,-0.42317015,1
124,0,0.42279232,-0.42279232,1
125,0,0.42366946,-0.42366946,1
126,0,0.43098128,-0.43098128,1
127,0,0.43131047,-0.43131047,1
128,0,1,-1,1
129,0,0.43604428,-0.43604428,1
130,0,0.45356265,-0.45356265,1
131,1,0.7315301,0.2684699,1
132,1,0.6751103,0.3248897,1
133,1,0.6700991,0.3299009,1
134,1,0.6577751,0.3422249,1
135,1,0.5677214,0.4322786,1
136,1,0.55083555,0.44916445,1
137,1,0.5139729,0.4860271,1
138,1,0.5033402,0.4966598,1
139,1,0.47928575,0.52071425,0
140,1,0.4719018,0.5280982,0
141,1,0.47358775,0.52641225,0
142,0,0.41394812,-0.41394812,1
143,0,0.42068556,-0.42068556,1
144,0,0.41724622,-0.41724622,1
145,0,0.41946435,-0.41946435,1
146,0,0.43041074,-0.43041074,1
147,0,0.43786645,-0.43786645,1
148,0,0.44238234,-0.44238234,1
149,0,0.44799984,-0.44799984,1
150,1,0.6289206,0.3710794,1
151,1,0.60652876,0.39347124,1
152,1,0.5688344,0.4311656,1
153,1,0.53837395,0.46162605,1
154,1,0.5307377,0.4692623,1
155,1,0.5113183,0.4886817,1
156,1,0.5060765,0.4939235,1
157,1,0.48488063,0.51511937,0
158,1,0.4800773,0.5199227,0
159,1,0.48149696,0.51850304,0
160,1,0.4760825,0.5239175,0
161,0,0.4198054,-0.4198054,1
162,0,0.4402423,-0.4402423,1
163,0,0.44112813,-0.44112813,1
164,1,0.56573236,0.43426764,1
165,1,0.5435695,0.4564305,1
166,1,0.5416231,0.4583769,1
167,1,0.5145315,0.4854685,1
168,1,0.5019517,0.4980483,1
169,1,0.48896408,0.51103592,0
170,1,0.49409404,0.50590596,0
171,1,0.49018764,0.50981236,0
172,1,0.4711308,0.5288692,0
173,0,0.41446075,-0.41446075,1
174,0,0.41540754,-0.41540754,1
175,0,0.4176655,-0.4176655,1
176,0,0.42019045,-0.42019045,1
177,0,0.42051297,-0.42051297,1
178,0,0.4205507,-0.4205507,1
179,0,0.4449033,-0.4449033,1
180,0,0.4467197,-0.4467197,1
181,0,0.4463309,-0.4463309,1
182,0,0.45038748,-0.45038748,1
183,1,0.570459,0.429541,1
184,1,0.5640513,0.4359487,1
185,1,0.5322143,0.4677857,1
186,1,0.5261614,0.4738386,1
